Characters,DateOfCreation,DateOfRef,DateOfBio,Character Status,Adopt?,Date Ref Difference,Date Bio Difference,Art,Digital,Ref,TH,Colour,Age,Height,Species,Gender,Pronouns,Sexuality,Handedness,World,Location,Full Name,Birthday,Image Count (TH),Image Count (Edited),Hair Colour,Eye Colour,Cowlick,Glasses,Colour1,Colour2,Colour3,Law vs Chaos,Good vs Evil
Murry,16/03/2021,01/08/2023,11/05/2021,minor,Yes,868,56,Yes,Yes,Yes,Yes,#FFACAD,25,0.17 m,Faefly,Demiboy,he/they,Demi,Right-handed,Ahanaria,Valley of Fear,Murry,16-Mar,6,5,Blue,Orange,No,No,Blue,Orange,White,Lawful,Neutral
Nadine,11/09/2021,17/09/2021,20/12/2022,minor,No,6,465,Yes,Yes,Yes,Yes,#ADD259,26,1.52 m,Human,Demigirl,she/they,Demi,Ambidextrous,Ahanaria,Wanderer,Nadine Tempestos,09-Oct,3,2,Green,Orange,No,No,Blue,Orange,White,Lawful,Good
Nathan,19/02/2019,09/08/2020,27/07/2020,main,No,537,524,Yes,Yes,Yes,Update,#995030,20,1.90 m,Human,Male,he/him,Bi,Left-handed,FW-4443,F. University,Nathan Strange,20-Apr,118,111,Ginger,Turquoise,Yes,No,Brown,Green,,Chaotic,Good
Newt,12/04/2022,13/04/2022,23/04/2022,secondary,Yes,1,11,Yes,Yes,Yes,Yes,#FF96B4,32,1.45 m,Fairy,Genderfluid,he/she/they,Ace,Ambidextrous,Familiar Bonds,,Newt Klaudio,,5,4,Pink,Pink,No,No,Pink,White,Red,Neutral,Good
Nicole,01/10/2021,,,minor,Yes,,,Yes,No,No,No,,16,,Human,Female,she/her,Gay,Right-handed,FW-4443,London,Nicole Aurora Areum,,4,4,Blond,Brown,No,No,Brown,,,Neutral,Neutral
Niel,12/04/2022,13/04/2022,04/06/2022,secondary,Yes,1,53,Yes,Yes,Yes,Yes,#7A4031,Ageless,2.02 m,Bear,Male,he/him,???,Right-handed,Familiar Bonds,,Niel,,4,3,Brown,Pink,No,No,Pink,White,Red,Chaotic,Neutral
Nigel,31/10/2021,03/11/2021,26/03/2022,main,No,3,146,Yes,Yes,Yes,Yes,#963A51,19,1.47 m,Bird,Male,he/him,Demi,Right-handed,Visiere,Oracelan,Nigel Embers,21-Dec,7,6,Blue,Pink,Yes,No,Pink,Black,,Chaotic,Good
Nosroe,19/03/2021,24/03/2021,23/04/2021,minor,Yes,5,35,Yes,Yes,Yes,Yes,#7B2D9E,12,,Dragoncat,Female,she/her,Bi,Pawsies,Ahanaria,Valley of Fear,Nosroe,01-May,4,3,None,Green,No,No,Purple,Green,,Neutral,Neutral
Odyssey,04/06/2022,04/06/2022,12/09/2022,minor,No,0,100,Yes,Yes,Yes,Yes,#F1EDB5,45,1.39 m,Axolotl,Female,she/her,Gay,Right-handed,Visiere,Republic of N�dre,Odyssey Endresen,29-Jun,3,2,Brown,Blue,No,Yes,Brown,Blue,,Neutral,Neutral
Oliver,01/11/2015,29/05/2021,09/07/2021,main,No,,,Yes,Yes,Yes,Yes,#FF5733,34?,1.70 m,Dimenller,Male,he/him,Straight,Right-handed,OO-0000,,Oliver,14-Jul,16,17,Brown,Brown,No,No,Orange,Turquoise,Blue,Neutral,Good
Ollie,23/08/2019,,13/07/2021,secondary,No,,690,Yes,No,No,Yes,,19,1.65 m,Human,Male,he/him,???,Right-handed,FW-4443,F. University,Ollie Moonlight,15-Mar,8,8,Brown,Yellow,No,No,Brown,Yellow,Green,Lawful,Neutral
Oni,21/08/2021,21/08/2021,08/11/2021,minor,No,0,79,Yes,Yes,Yes,Yes,#FF009D,???,1.65 m,Dragon-god,Genderfluid,he/she/they,Pan,Ambidextrous,Visiere,Heavenly Realm,Oni,,3,2,N/A,White,No,Yes,Pink,Purple,Orange,Neutral,Good
Ophelia,10/10/2021,17/10/2021,13/04/2022,main,No,7,185,Yes,Yes,Yes,Yes,#D347C6,19,1.68 m,Mantis-shrimp,Female,she/her,???,Left-handed,Visiere,Oracelan,Ophelia Bloomfell,16-May,7,6,N/A,White,No,No,Brown,Blue,,Chaotic,Evil
Owen,03/05/2021,29/05/2021,23/12/2022,antagonist,No,26,599,Yes,Yes,Yes,Yes,#6B547E,Ageless,1.80 m,Caracal-dimenller,Male,he/him,Gay,Right-handed,OO-0000,,Owen,14-Jul,24,26,Purple,Orange,No,No,Orange,Turquoise,Blue,Lawful,Neutral
Ozion,15/03/2022,14/05/2023,06/09/2023,secondary,No,425,540,Yes,Yes,Yes,Yes,#813E2D,98 (~20),1.48 m,Elf,Male,he/him,Gay,Ambidextrous,Ahanaria,Lord's Inn,Ozion,,5,4,Black,Orange,No,No,Orange,Blue,Brown,Chaotic,Good
Pago,12/01/2021,18/12/2022,20/12/2022,minor,Yes,705,707,Yes,Yes,Yes,Yes,#617D84,6,0.63 m,Dog,Male,he/him,Ace,Pawsies,Ahanaria,Wanderer,Pago,22-Dec,5,4,Turquoise,Black,No,No,Turquoise,,,Neutral,Good
Paris,08/06/2022,18/10/2023,,minor,Yes,497,,Yes,Yes,Yes,No,#69182A,132,1.46 m,Cyclops-angel,Female,she/her,Pan,Right-handed,Visiere,Heavenly Realm,Paris,,4,5,Red,Pink,No,No,Black,Pink,Red,Lawful,Evil
Paul,16/01/2022,16/01/2022,16/01/2022,secondary,No,0,0,Yes,Yes,Yes,Yes,#231D88,26,1.51 m,Cat,Male,he/him,Bi,Right-handed,Visiere,Oracelan,Paul Smith,08-Aug,6,5,Grey,Orange,No,No,Blue,Grey,Yellow,Lawful,Evil
Pearl,11/09/2021,13/09/2021,13/09/2021,minor,No,2,2,Yes,Yes,Yes,Yes,#C3945E,34,1.84 m,Human,Genderfluid,he/she,???,Ambidextrous,Visiere,Republic of N�dre,Pearl Matten,07-Oct,8,7,Brown,Yellow,No,No,Brown,Yellow,,Chaotic,Neutral
Phillipe,23/11/2021,,,main,No,,,Yes,No,No,No,,,,Human,Nonbinary,they/them,Ace,Left-handed,Bastards Knowledge,80s BOKs,,,1,2,Black,Purple,Yes,No,Purple,Black,Grey,Chaotic,Good
Philomena,14/12/2021,,28/01/2023,minor,Yes,,410,Yes,Yes,No,Yes,#C32E5D,???,,Objecthead,Demigirl,she/they,Ace,Left-handed,FW-4443,Fairweather,Philomena Petals ",??,3,3,N/A,N/A,No,No,Pink,White,,,
Preston,25/10/2021,,,minor,Yes,,,Yes,No,No,No,,,,Cat,Male,he/him,Bi,Right-handed,Venezia Plagued,Giudecca,Preston Rossi,,2,2,Black,Green,No,No,Red,Black,White,Chaotic,Neutral
Prof Prof,26/07/2019,,,minor,No,,,Yes,No,No,No,,,,Human,Male,he/him,Straight,Right-handed,FW-4443,F. University,Edgar Virgil,,3,3,Brown,Green,No,Yes,Brown,,,Lawful,Evil
Quincy,21/06/2023,22/06/2023,22/06/2023,minor,No,1,1,Yes,Yes,No,Yes,#FD4E9E,22,,Human,Female,she/her,Pan,Left-handed,,,Quincy Clarke,,2,2,Brown,Pink,No,Yes,Pink,Blue,Black,Chaotic,Good
Raphaelo,23/11/2021,13/05/2023,08/06/2023,minor,No,536,562,Yes,Yes,Yes,No,#B1443A,25 (after),1.61 m,Human,Nonbinary,he/she/they,Pan,Right-handed,FW-4443,Fairweather,Raphaelo Goldenoak,04-Oct,4,3,Ginger,Brown,No,No,Red,Yellow,,Neutral,Neutral
Raven,11/09/2021,24/09/2023,,minor,No,743,,Yes,Yes,Yes,No,#827F9C,,1.98 m,Bat,Nonbinary,he/she/they,Ace,Right-handed,Visiere,Republic of N�dre,Raven Agner,,4,5,Blue,Grey,Yes,No,Black,White,Grey,Neutral,Evil
Ray,11/02/2020,14/06/2021,09/12/2021,main,No,489,667,Yes,Yes,Yes,Yes,#B5B8C9,13,1.51 m,Human,Male,he/him,Ace,Left-handed,Ahanaria,Wanderer,Ray,21-Jun,10,9,Grey,Yellow,Yes,Yes,Grey,Yellow,,Neutral,Evil
Raya,11/02/2020,14/06/2021,04/12/2021,main,No,489,662,Yes,Yes,Yes,Yes,#DEAA30,13,1.51 m,Human,Female,she/her,???,Left-handed,Ahanaria,Wanderer,Raya,21-Jun,10,9,Grey,Yellow,Yes,No,Grey,Yellow,,Neutral,Neutral
Reel,24/10/2021,03/11/2021,,minor,No,10,,Yes,Yes,Yes,No,,,1.29 m,Fish,Nonbinary,they/them,Demi,Right-handed,Ahanaria,Tarras,Reel The Monster Fish,,0,1,Green,Red,Yes,No,Pink,Blue,Brown,Neutral,Evil
Rhea,27/10/2020,06/06/2022,14/06/2022,secondary,No,587,595,Yes,Yes,Yes,Yes,#126EE5,17,1.70 m,Human,Female,she/her,Demi,Right-handed,Bastards Knowledge,current BOKs,Rhea Ling,,11,10,Brown,Orange,Yes,No,Blue,,,Neutral,Neutral
Ryan,26/10/2022,03/11/2022,,secondary,No,8,,Yes,Yes,Update,No,#D1CC90,24?,1.79 m,Fish-dimenller,Nonbinary,they/them,???,Left-handed,OO-0000,,Ryan,,3,4,Black,Yellow,No,No,Black,Yellow,Blue,Chaotic,Good
Ryousuke,21/09/2022,30/09/2023,,minor,Yes,374,,Yes,Yes,Yes,No,#7574B7,19,,Dog,Male,he/him,Pan,Left-handed,Visiere,Tendokoku,Ryousuke Kouhaku,12-Sep,2,3,Blond,Blue,No,No,Purple,Black,Yellow,Neutral,Neutral
Sapho,11/09/2021,06/03/2022,16/03/2022,secondary,No,176,186,Yes,Yes,Yes,Yes,#23559A,19,1.65 m,Sheep,Male,he/him,Bi,Right-handed,Visiere,Republic of N�dre,Sapho Olsen,18-Feb,10,9,Black,Black,No,No,Blue,Black,,Chaotic,Neutral
Saville,27/10/2020,10/06/2022,24/01/2022,main,No,591,454,Yes,Yes,Yes,Yes,#A65CC6,18,1.81 m,Human,Male,he/him,Bi,Right-handed,Bastards Knowledge,current BOKs,Saville Poirot,,20,20,Purple,Grey,Yes,No,Purple,Orange,,Chaotic,Neutral
Sebastian,20/03/2020,05/04/2021,19/04/2021,secondary,No,381,395,Yes,Yes,Yes,Yes,#7D3849,12,1.63 m,Human,Demiboy,he/they,???,Right-handed,Ahanaria,Lord's Inn,Sebastian,05-Jul,13,12,Blond,Grey,No,No,Red,White,,Chaotic,Good
Sid,25/11/2022,17/01/2023,17/01/2023,minor,Yes,53,53,Yes,Yes,No,Yes,#C157A2,13,1.72 m,Human,Genderfluid,he/she/they,Pan,Ambidextrous,FW-4443,F. Highschool,Sidney Autumnwick,14-Nov,4,4,Pink,Pink,Yes,No,Purple,Blue,Pink,,
Sofie,25/10/2021,22/02/2022,27/02/2022,minor,Yes,120,125,Yes,Yes,Yes,Yes,#797E90,(dead),1.76 m,Ghost,Female,she/her,Ace,Left-handed,Visiere,Republic of N�dre,Sofie ???,03-Apr,4,3,Grey,White,No,No,Grey,White,,Chaotic,Good
Soreah,15/03/2022,10/06/2022,11/06/2022,secondary,No,87,88,Yes,Yes,Yes,Yes,#A95468,56 (28),1.76 m,Half-elf,Female,she/her,Straight,Right-handed,Ahanaria,Lord's Inn,Soreah Viociana,14-Feb,8,8,Pink,Purple,No,No,Pink,Purple,Brown,Neutral,Good
Sprout,14/04/2019,30/09/2021,16/07/2021,minor,No,900,824,Yes,Yes,Yes,Update,#EA7772,8,1.28 m,Human,Male,he/him,???,Right-handed,FW-4443,Fairweather,Russel Sprout Lemonpie",03-Jul,5,4,Green,Brown,Yes,No,Orange,Green,,Chaotic,Good
Stanley,23/11/2021,12/12/2021,25/12/2021,main,No,19,32,Yes,Yes,Yes,Yes,#AE7F59,24,1.89 m,Fawn,Transmale,he/him,Gay,Left-handed,Visiere,Ch�rice,Stanley Petit,06-Apr,12,11,Brown,Yellow,No,Yes,Orange,Red,Yellow,Neutral,Neutral
Stevie,06/08/2019,11/04/2022,06/10/2020,minor,No,979,427,Yes,Yes,Yes,Update,#DC7A37,12 (after),1.52 m,Human,Male,he/him,???,Right-handed,FW-4443,Fairweather,Stevie Strange,17-Nov,7,6,Brown,Grey,No,No,Orange,Brown,Red,Lawful,Neutral
Tam,12/11/2021,04/02/2022,19/02/2022,main,No,84,99,Yes,Yes,Yes,Yes,#434F84,23,1.70 m,Human,Nonbinary,they/them,Pan,Right-handed,KG-0008,Soarway,Tam,01-Dec,39,37,Blond,Brown,No,No,Blue,White,Yellow,Lawful,Neutral
Tanya,01/03/2016,09/10/2022,17/10/2022,minor,No,2413,2421,Yes,Yes,Yes,Yes,#F63DA5,37,2.10 m,Human,Female,she/her,Ace,Left-handed,FW-4443,Fairweather,Tanya Viocrimsa,30-Oct,9,8,Black,Purple,Yes,No,Pink,Black,Purple,Neutral,Evil
Tanziu,07/10/2022,08/10/2022,07/11/2022,minor,Yes,1,31,Yes,Yes,Yes,Yes,#00929D,201 (~30),1.49 m,Elf,Transmale,he/him,???,Ambidextrous,Ahanaria,Elfandor,Tanziu Opal Zariah,07-Feb,7,5,Blue,Turquoise,No,No,Blue,Yellow,,Neutral,Neutral
Tara,16/03/2021,18/12/2022,20/12/2022,secondary,Yes,642,644,Yes,Yes,Yes,Yes,#8EB8BF,17,1.41 m,Tabaxi,Female,she/her,???,Right-handed,Ahanaria,Iceraan,Tara Freezias,06-Feb,7,6,Grey,Orange,No,No,Blue,Orange,,Chaotic,Good
Timothy,01/11/2015,02/06/2021,09/07/2021,main,No,,,Yes,Yes,Yes,Yes,#E2E805,22?,2.31 m,Centaur-dimenller,Male,he/him,Demi,Ambidextrous,OO-0000,,Timothy,,20,20,Brown,Black,Yes,Yes,Yellow,Red,,Lawful,Neutral
Tip,12/09/2020,,17/06/2021,minor,Yes,,278,Yes,Yes,No,Yes,,???,1.00 m,Doll,Demiboy,he/him,Ace,Left-handed,Ahanaria,Weedzard Mansion,Tip,,5,5,Black,Blue,Yes,No,Red,White,Yellow,Chaotic,Neutral
Tom,17/08/2020,17/08/2020,16/10/2021,main,No,0,425,Yes,Yes,Yes,Yes,#A24A54,25,1.87 m,Human,Male,he/him,Demi,Right-handed,Visiere,Oracelan,Thomas Spriker ",20-Sep,22,23,Red,Blue,No,No,Grey,Red,Blue,Lawful,Neutral
Tup,12/09/2020,,08/07/2021,minor,Yes,,299,Yes,Yes,No,Yes,,???,1.00 m,Doll,Demigirl,she/her,Ace,Right-handed,Ahanaria,Weedzard Mansion,Tup,,5,5,Black,Blue,Yes,No,Red,White,Yellow,Lawful,Evil
Valentino,12/01/2023,18/03/2023,11/03/2023,minor,Yes,65,58,Yes,Yes,Yes,Yes,#FFBCBC,24,1.74 m,Angel,Transmale,he/him,Gay,Right-handed,Vokais' Demonium,Angelic Slums,Valentino Micah,12-Jan,6,4,Blue,Pink,Yes,No,Pink,Turquoise,,Lawful,Good
Vangelo,18/04/2023,28/04/2023,26/04/2023,main,No,10,8,Yes,Yes,Yes,Yes,#574571,20,1.59 m,Angel,Demiboy,he/they,???,Ambidextrous,D&D,,Vangelo Peristeridis,,13,12,Black,Purple,No,No,Purple,Brown,Yellow,Chaotic,Neutral
Vern,13/05/2020,24/01/2022,21/02/2022,minor,No,621,649,Yes,Yes,Yes,Yes,#404757,19,1.60 m,Human,Male,he/him,???,Right-handed,Visiere,Republic of N�dre,Vern,15-Jan,4,3,Blue,Green,Yes,No,Blue,Red,,Chaotic,Good
Victor,18/01/2022,25/01/2022,23/02/2022,minor,Yes,7,36,Yes,Yes,Yes,Yes,#7CC1D6,11,1.27 m,Human,Male,he/him,???,Left-handed,Visiere,Republic of N�dre,Victor,23-Mar,3,2,Blue,Red,Yes,No,Blue,Red,White,Chaotic,Neutral
Vokais,14/04/2021,13/06/2021,14/04/2021,main,Yes,60,0,Yes,Yes,Yes,Yes,#8DC59E,31,1.71 m,Angel,Male,he/him,Ace,Left-handed,Vokais' Demonium,Angelic Slums,Vokais Dagan,14-Apr,40,38,Brown,Grey,Yes,No,Green,Brown,,Chaotic,Neutral
Wallis,17/01/2023,,,minor,No,,,Yes,Yes,No,No,#92E469,Ageless,,Slime,Demiboy,he/they/it,???,All,Familiar Bonds,,Wallis,,1,1,None,Pink,No,No,Black,Pink,Green,Neutral,Neutral
Wefiks,17/01/2023,,,minor,No,,,Yes,Yes,No,No,#D24CA0,,,Human,Male,he/him,Ace,Ambidextrous,Familiar Bonds,,Wefiks Kozak,,2,2,White,Green,Yes,Yes,White,Black,Brown,Lawful,Neutral
Wes,11/09/2021,22/09/2021,28/09/2021,minor,No,11,17,Yes,Yes,Yes,Yes,#5B5478,19,2.00 m,Human,Male,he/him,???,Ambidextrous,Visiere,Republic of N�dre,Wes Larsen,02-Sep,6,5,Purple,Pink,Yes,No,Rainbow,Purple,Pink,Lawful,Evil
Winnie,23/11/2021,20/02/2022,,antagonist,No,89,,Yes,Yes,Yes,Yes,#5C3743,20,1.64 m,Human,Female,she/her,Demi,Right-handed,Bastards Knowledge,80s BOKs,Winnie Mariah Origia,,2,3,Grey,Pink,Yes,Yes,Black,Pink,Purple,Lawful,Good
Winona,22/11/2021,05/03/2022,20/03/2022,minor,Yes,103,118,Yes,Yes,Yes,No,#EEA868,112,1.60 m,Kitsune,Female,she/her,Pan,Right-handed,Visiere,Republic of N�dre,Winona,28-May,5,4,Brown,Yellow,No,No,Black,Yellow,White,Chaotic,Good
Wizzlie,15/07/2021,15/07/2021,11/05/2022,minor,No,0,300,Yes,Yes,Yes,Yes,#EC4176,145 (~24),1.67 m,Elf,Female,she/her,Bi,Left-handed,Ahanaria,Elfandor,Wister Wizzlie Pristiflame",17-Jan,2,1,Red,Yellow,No,No,Blue,Pink,White,Chaotic,Neutral
Xavian/Lex,13/04/2022,09/05/2022,,antagonist,Yes,26,,Yes,Yes,Yes,No,#0BFF00,12 8",1.50 m,Robot,Demiboy,he/they/it,Ace,Left-handed,Visiere,Oracelan,Xavian Lex ",01-Jan,4,6,White,Green,No,No,Green,Black,White,Chaotic,Evil
Yasmin,08/06/2022,16/08/2022,,minor,Yes,69,,Yes,Yes,Yes,No,#6D9156,,1.51 m,Sheep-nymph,Female,she/her,Pan,Right-handed,Visiere,Heavenly Realm,Yasmin,,1,2,Green,Turquoise,No,No,Blue,Turquoise,Green,,
Yuh,03/04/2021,28/10/2021,04/11/2021,antagonist,No,208,215,Yes,Yes,Yes,Yes,#6994D0,???,???,Cat-god,Nonbinary,he/she/they,Ace,Pawsies,Visiere,Heavenly Realm,Yuh Beeterson,??,7,7,Blue,Purple,No,No,Blue,Purple,,Lawful,Evil
Zacharie,15/02/2021,,17/04/2021,antagonist,Yes,,61,Yes,No,No,Yes,#00BCDF,15,1.50 m,Angel,Demigirl,she/they,???,Left-handed,Vokais' Demonium,Angelic Skyscrapers,Zacharie Sacriel,12-Feb,5,5,Blond,Turquoise,Yes,No,Blue,Yellow,,Neutral,Neutral
Zakyr,30/04/2020,24/03/2021,23/04/2021,secondary,No,328,358,Yes,Yes,Yes,Yes,#951D42,9 mon,,Dragoncat,Male,he/him,???,Pawsies,Ahanaria,Wanderer,Zakyr,02-Jul,5,4,N/A,Red,No,No,Red,,,Lawful,Neutral
Zayne,03/05/2021,,27/07/2022,minor,No,,450,Yes,No,No,Yes,#58CBA4,,,Faefly,Nonbinary,they/them,Pan,Ambidextrous,Ahanaria,Faefly Meadow,Zayne Willowdrops,19-Mar,1,1,Blue,Turquoise,No,No,Turquoise,Green,Yellow,Lawful,Neutral
